movie,sentence,score
쥬라기 월드: 도미니언,많은 교훈과 재미를 갖춘 영화로 한여름 무더위를 식힐만 한 작품,10
쥬라기 월드: 도미니언,메뚜기좀 클로즈업하지마라 ㅡㅡ 주인공버프가 너무 심해서 공룡들이 주인공들 앞에선 전투력 급하락임 시리즈 최종장답지않게 꽤지루함,5
범죄도시2,장첸을 잊게한 강해상..악역인데 섹시한 건 뭐지?...!!,10
그대가 조국,내가 너무 무지했다는 것을 반성게되었습니다,10
쥬라기 월드: 도미니언,볼거리도 많고 진짜 재밌었습니다 다 좋았지만 연출 영상느낌이 특히 좋았어요!,10
리턴 투 파라다이스,해방일지 작가님의 창희대사로 와봤습니다ㅎ,10
킬러의 보디가드 2: 킬러의 와이프,리빙포인트) 보통 유명 배우들이 카메오로 많이 나오는 영화는 무지막지하게 재미없을 경우가 많다,4
쥬라기 월드: 도미니언,믿고 보는 쥬라기공원자극적이지 않고 감동적이라 온가족이 보기엔 최고입니다,10
쥬라기 월드: 도미니언,주안이야미야미야미!,5
쥬라기 월드: 도미니언,생각보다 재미있었음!,9
쥬라기 월드: 도미니언,볼거리도 많고 재밌었어요,10
쥬라기 월드: 도미니언,이걸보고 아기공룡 쮸쮸  재평가 필요하다!!! 외국영화 보고 국뽕이 차오르네요 ㅋㅋ ,10
쥬라기 월드: 도미니언,두시간 반 후딱 갑니다~~~ 믿고 보는 시리즈인데 이제 못 본다는게 아쉬울 뿐입니다ㅠ,10
범죄도시2,이젠 마동석 장르로 따로 분류해도 되겠다 처음부터 끝까지 진심 너무 재밌었다 글구 좀 잔인하기도 함 암튼 재밌음 ㅠㅜ 특히 다들 연기를 너무 잘해서 좋았다,10
킬러의 보디가드 2,1편보다 재밌게 봤다 웃고 싶으면 추천,9
그대가 조국,예상 했던 스토리.뻔뻔한 스토리,1
범죄도시2,Wow Wow Wow Wow,10
쥬라기 월드: 도미니언,마지막까지 좋았던 쥬라기 시리즈!,10
